datetime,height,temperature
2022-06-20T05:45:00+03:00,550,10.36
2022-06-20T05:45:00+03:00,600,10.06
2022-06-20T05:50:00+03:00,0,13.12
2022-06-20T05:50:00+03:00,50,13.04
2022-06-20T05:50:00+03:00,100,12.82
2022-06-20T05:50:00+03:00,150,12.47
2022-06-20T05:50:00+03:00,200,12.16
2022-06-20T05:50:00+03:00,250,11.89
2022-06-20T05:50:00+03:00,300,11.61
2022-06-20T05:50:00+03:00,350,11.33
2022-06-20T05:50:00+03:00,400,11.03
2022-06-20T05:50:00+03:00,450,10.75
2022-06-20T05:50:00+03:00,500,10.47
2022-06-20T05:50:00+03:00,550,10.18
2022-06-20T05:50:00+03:00,600,9.89
2022-06-20T05:55:00+03:00,0,13.13
2022-06-20T05:55:00+03:00,50,13.0
2022-06-20T05:55:00+03:00,100,12.7
2022-06-20T05:55:00+03:00,150,12.4
2022-06-20T05:55:00+03:00,200,12.06
2022-06-20T05:55:00+03:00,250,11.8
2022-06-20T05:55:00+03:00,300,11.51
2022-06-20T05:55:00+03:00,350,11.22
2022-06-20T05:55:00+03:00,400,10.93
2022-06-20T05:55:00+03:00,450,10.66
2022-06-20T05:55:00+03:00,500,10.38
2022-06-20T05:55:00+03:00,550,10.1
2022-06-20T05:55:00+03:00,600,9.81
2022-06-20T06:00:00+03:00,0,13.01
2022-06-20T06:00:00+03:00,50,12.94
2022-06-20T06:00:00+03:00,100,12.67
2022-06-20T06:00:00+03:00,150,12.35
2022-06-20T06:00:00+03:00,200,11.98
2022-06-20T06:00:00+03:00,250,11.66
2022-06-20T06:00:00+03:00,300,11.24
2022-06-20T06:00:00+03:00,350,10.87
2022-06-20T06:00:00+03:00,400,10.54
2022-06-20T06:00:00+03:00,450,10.21
2022-06-20T06:00:00+03:00,500,9.86
2022-06-20T06:00:00+03:00,550,9.5
2022-06-20T06:00:00+03:00,600,9.14
2022-06-20T06:05:00+03:00,0,12.96
2022-06-20T06:05:00+03:00,50,12.9
2022-06-20T06:05:00+03:00,100,12.61
2022-06-20T06:05:00+03:00,150,12.19
2022-06-20T06:05:00+03:00,200,11.8
2022-06-20T06:05:00+03:00,250,11.39
2022-06-20T06:05:00+03:00,300,11.01
2022-06-20T06:05:00+03:00,350,10.65
